0,5
10,5
20,5
30,5
40,5
50,5
60,5
70,5
80,5
90,5
100,6
110,3
120,4
130,4
140,3
150,4
160,0
170,0
180,0
170,117
160,149
150,5
140,4
130,0
120,0
110,4
100,4
90,3
80,3
70,4
60,4
50,4
40,4
30,4
20,3
10,4
0,4
10,4
20,4
30,4
40,4
50,4
60,4
70,4
80,4
90,4
100,4
110,4
120,4
130,3
140,4
150,3
160,3
170,4
180,4
170,3
160,4
150,3
140,4
130,3
120,4
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,2
180,3
170,3
160,4
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,4
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,4
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,4
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,4
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,4
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,4
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,4
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
40,3
30,3
20,3
10,3
0,3
10,3
20,3
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
170,3
160,3
150,3
140,3
130,3
120,3
110,3
100,3
90,3
80,3
70,3
60,3
50,3
0,5
10,5
20,5
30,5
40,5
50,5
60,5
70,5
80,5
90,5
100,5
110,5
120,5
130,5
140,5
150,5
160,5
170,5
180,5
170,5
160,5
150,5
140,5
130,5
120,5
110,5
100,5
90,5
80,5
70,5
60,5
50,5
40,5
30,5
20,5
10,5
0,5
10,5
20,5
30,5
40,5
50,5
60,5
70,5
80,5
90,5
100,5
110,5
120,5
130,5
140,5
150,5
160,5
170,5
180,5
170,5
160,5
150,5
140,5
130,5
120,5
110,5
100,5
90,5
80,5
70,5
60,5
50,5
40,5
30,5
20,5
10,5
0,5
10,5
20,5
30,5
40,5
50,5
60,5
70,5
80,5
90,5
100,5
110,5
120,5
130,5
140,5
150,5
160,5
170,5
180,5
170,5
160,5
150,5
140,5
130,5
120,5
110,5
100,5
90,5
80,5
70,5
60,5
50,5
40,5
30,5
20,5
10,5
0,5
10,5
20,5
30,5
40,5
50,5
60,5
70,5
80,5
90,5
100,5
110,5
120,5
130,5
140,5
150,5
